id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,other_data,sticky
16652,43,"53.332323, -6.274455",37a720,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0447.jpg,,,53.332323,-6.274455,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001809;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0447.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0447-225x300.jpg"";}}}}",0
16653,43,"53.33147532, -6.2615502",<p>37a721</p>,https://bleeperbike.com/wp-content/uploads/2016/12/WhatsApp-Image-2018-12-06-at-14.09.01.jpeg,,,53.331475,-6.26155,0,,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100003224;s:3:""url"";s:93:""https://bleeperbike.com/wp-content/uploads/2016/12/WhatsApp-Image-2018-12-06-at-14.09.01.jpeg"";s:9:""thumbnail"";s:101:""https://bleeperbike.com/wp-content/uploads/2016/12/WhatsApp-Image-2018-12-06-at-14.09.01-225x300.jpeg"";}}}}",0
16654,43,"53.33091783, -6.258653104",<p>37a722</p>,https://bleeperbike.com/wp-content/uploads/2016/12/pic-web.jpg,,,53.330918,-6.258653,0,,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100003223;s:3:""url"";s:62:""https://bleeperbike.com/wp-content/uploads/2016/12/pic-web.jpg"";s:9:""thumbnail"";s:70:""https://bleeperbike.com/wp-content/uploads/2016/12/pic-web-225x300.jpg"";}}}}",0
16657,43,"0, 0",37a725,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5067.jpg,,,0,0,0,Forbes St,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001451;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5067.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5067-225x300.jpg"";}}}}",0
16658,43,"53.34077914, -6.255603265",37a726,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0026.jpg,,,53.34077914,-6.255603265,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001675;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0026.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0026-225x300.jpg"";}}}}",0
16659,43,"53.34187155, -6.2583835",37a727,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0015.jpg,,,53.34187155,-6.2583835,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001665;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0015.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0015-225x300.jpg"";}}}}",0
16660,43,"53.34094114, -6.25843178",37a728,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0013.jpg,,,53.34094114,-6.25843178,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001663;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0013.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0013-225x300.jpg"";}}}}",0
16661,43,"53.32836014074026, -6.208649980835617",,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0002-4.jpg,,,53.32836,-6.20865,0,Strand Road Car Park 1,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002233;s:3:""url"";s:64:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0002-4.jpg"";s:9:""thumbnail"";s:73:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0002-4-225x300.jpg"";}}}}",0
16662,43,"53.359428258075695, -6.198314130306244",,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0001-4.jpg,,,53.359428,-6.198314,0,Clontarf Car Park 1,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002232;s:3:""url"";s:64:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0001-4.jpg"";s:9:""thumbnail"";s:73:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0001-4-225x300.jpg"";}}}}",0
16663,43,"53.32234839637265, -6.279313468839973",,http://bleeperbike.com/wp-content/uploads/2016/12/image2.jpg,,,53.322348,-6.279313,0,Outside Monica Hairstylist,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002283;s:3:""url"";s:60:""http://bleeperbike.com/wp-content/uploads/2016/12/image2.jpg"";s:9:""thumbnail"";s:69:""https://bleeperbike.com/wp-content/uploads/2016/12/image2-225x300.jpg"";}}}}",0
16664,43,"53.32692001651924, -6.277620303444564",,http://bleeperbike.com/wp-content/uploads/2016/12/image1.jpg,,,53.32692,-6.27762,0,Outside Post Office,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002282;s:3:""url"";s:60:""http://bleeperbike.com/wp-content/uploads/2016/12/image1.jpg"";s:9:""thumbnail"";s:69:""https://bleeperbike.com/wp-content/uploads/2016/12/image1-225x300.jpg"";}}}}",0
16665,43,"53.31833317808281, -6.279214834794402",,http://bleeperbike.com/wp-content/uploads/2016/12/image3.jpg,,,53.318333,-6.279215,0,Spar Shop,0,0,1,0,0,,"a:2:{i:0;s:1:""0"";s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002285;s:3:""url"";s:60:""http://bleeperbike.com/wp-content/uploads/2016/12/image3.jpg"";s:9:""thumbnail"";s:69:""https://bleeperbike.com/wp-content/uploads/2016/12/image3-225x300.jpg"";}}}}",0
16666,43,"53.31161709657151, -6.282882797531784",,http://bleeperbike.com/wp-content/uploads/2016/12/image3-1.jpg,,,53.3116171,-6.282882798,0,School of Music,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002284;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/image3-1.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/image3-1-225x300.jpg"";}}}}",0
16667,43,"53.314638189610385, -6.28225645981729",,http://bleeperbike.com/wp-content/uploads/2016/12/image4.jpg,,,53.31463819,-6.28225646,0,Terenure Office Supplies,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002286;s:3:""url"";s:60:""http://bleeperbike.com/wp-content/uploads/2016/12/image4.jpg"";s:9:""thumbnail"";s:69:""https://bleeperbike.com/wp-content/uploads/2016/12/image4-225x300.jpg"";}}}}",0
16668,43,"53.31259988041424, -6.282562231644988",,http://bleeperbike.com/wp-content/uploads/2016/12/image1-1.jpg,,,53.31259988,-6.282562232,0,Su Pin,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002281;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/image1-1.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/image1-1-225x300.jpg"";}}}}",0
16669,43,"53.311789917932906, -6.274786423891783",,,,,53.31178992,-6.274786424,0,Cross Roads,0,0,1,0,0,,a:0:{},0
16726,43,"53.37063225395474,-6.207232140004635",431az,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0472.jpg,,,53.37063225,-6.20723214,0,Howth Rd outside Supervalu,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001875;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0472.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0472-225x300.jpg"";}}}}",0
16729,43,"53.36699781025897,-6.201460026204586",434az,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0487-1.jpg,,,53.36699781,-6.201460026,0,BlackHeath Grove outside Clontarf Hospital,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001889;s:3:""url"";s:64:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0487-1.jpg"";s:9:""thumbnail"";s:73:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0487-1-225x300.jpg"";}}}}",0
16730,43,"53.364107317970735,-6.1953794583678246",435az,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0497-1.jpg,,,53.36410732,-6.195379458,0,Vernon Ave outside Insomnia,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001896;s:3:""url"";s:64:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0497-1.jpg"";s:9:""thumbnail"";s:73:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0497-1-225x300.jpg"";}}}}",0
16731,43,"53.3594947881202,-6.1984803434461355",436az,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0501-1.jpg,,,53.35949479,-6.198480343,0,Clontarf Rd,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001900;s:3:""url"";s:64:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0501-1.jpg"";s:9:""thumbnail"";s:73:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0501-1-225x300.jpg"";}}}}",0
