id,lat,long,date,departures
2,53.35677,-6.26814,2021-06-28 00:00,0
2,53.35677,-6.26814,2021-06-28 01:00,0
2,53.35677,-6.26814,2021-06-28 02:00,0
2,53.35677,-6.26814,2021-06-28 03:00,0
2,53.35677,-6.26814,2021-06-28 04:00,0
2,53.35677,-6.26814,2021-06-28 05:00,3
2,53.35677,-6.26814,2021-06-28 06:00,3
2,53.35677,-6.26814,2021-06-28 07:00,1
2,53.35677,-6.26814,2021-06-28 08:00,0
2,53.35677,-6.26814,2021-06-28 09:00,1
2,53.35677,-6.26814,2021-06-28 10:00,3
2,53.35677,-6.26814,2021-06-28 11:00,3
2,53.35677,-6.26814,2021-06-28 12:00,6
2,53.35677,-6.26814,2021-06-28 13:00,2
2,53.35677,-6.26814,2021-06-28 14:00,0
2,53.35677,-6.26814,2021-06-28 15:00,7
2,53.35677,-6.26814,2021-06-28 16:00,3
2,53.35677,-6.26814,2021-06-28 17:00,6
2,53.35677,-6.26814,2021-06-28 18:00,2
2,53.35677,-6.26814,2021-06-28 19:00,1
2,53.35677,-6.26814,2021-06-28 20:00,1
2,53.35677,-6.26814,2021-06-28 21:00,1
2,53.35677,-6.26814,2021-06-28 22:00,0
2,53.35677,-6.26814,2021-06-28 23:00,0
2,53.35677,-6.26814,2021-06-23 00:00,0
2,53.35677,-6.26814,2021-06-23 01:00,0
2,53.35677,-6.26814,2021-06-23 02:00,0
2,53.35677,-6.26814,2021-06-23 03:00,0
2,53.35677,-6.26814,2021-06-23 04:00,2
2,53.35677,-6.26814,2021-06-23 05:00,2
2,53.35677,-6.26814,2021-06-23 06:00,2
2,53.35677,-6.26814,2021-06-23 07:00,3
2,53.35677,-6.26814,2021-06-23 08:00,5
2,53.35677,-6.26814,2021-06-23 09:00,3
2,53.35677,-6.26814,2021-06-23 10:00,1
2,53.35677,-6.26814,2021-06-23 11:00,0
2,53.35677,-6.26814,2021-06-23 12:00,2
2,53.35677,-6.26814,2021-06-23 13:00,2
